Score,Value,Answer,Question
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,0,Wrong,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,0,Wrong,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,0,Wrong,question_8
score_8,0,Wrong,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,0,Wrong,question_8
score_8,1,Right,question_8
score_8,0,Wrong,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,1,Right,question_8
score_8,0,Wrong,question_8
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_9,0,Wrong,question_9
score_9,1,Right,question_9
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,1,Right,question_10
score_10,0,Wrong,question_10
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,0,Wrong,question_11
score_11,0,Wrong,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,0,Wrong,question_11
score_11,1,Right,question_11
score_11,1,Right,question_11
score_11,0,Wrong,question_11
score_11,0,Wrong,question_11
score_11,0,Wrong,question_11
score_11,1,Right,question_11
score_11,0,Wrong,question_11
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,0,Wrong,question_12
score_12,0,Wrong,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,0,Wrong,question_12
score_12,0,Wrong,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,0,Wrong,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,0,Wrong,question_12
score_12,1,Right,question_12
score_12,0,Wrong,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,0,Wrong,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_12,1,Right,question_12
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_13,0,Wrong,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_13,0,Wrong,question_13
score_13,0,Wrong,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,1,Right,question_13
score_13,0,Wrong,question_13
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_14,0,Wrong,question_14
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_14,0,Wrong,question_14
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_14,0,Wrong,question_14
score_14,0,Wrong,question_14
score_14,1,Right,question_14
score_14,1,Right,question_14
score_14,0,Wrong,question_14
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,0,Wrong,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,0,Wrong,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,0,Wrong,question_15
score_15,0,Wrong,question_15
score_15,1,Right,question_15
score_15,1,Right,question_15
score_15,0,Wrong,question_15
score_15,0,Wrong,question_15
score_15,1,Right,question_15
score_15,0,Wrong,question_15
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,0,Wrong,question_16
score_16,0,Wrong,question_16
score_16,0,Wrong,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,0,Wrong,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,0,Wrong,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,0,Wrong,question_16
score_16,0,Wrong,question_16
score_16,0,Wrong,question_16
score_16,0,Wrong,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,1,Right,question_16
score_16,0,Wrong,question_16
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,0,Wrong,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,0,Wrong,question_17
score_17,0,Wrong,question_17
score_17,0,Wrong,question_17
score_17,1,Right,question_17
score_17,0,Wrong,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_17,1,Right,question_17
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_18,0,Wrong,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_18,0,Wrong,question_18
score_18,0,Wrong,question_18
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_18,0,Wrong,question_18
score_18,1,Right,question_18
score_18,0,Wrong,question_18
score_19,1,Right,question_19
score_19,0,Wrong,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,0,Wrong,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,0,Wrong,question_19
score_19,0,Wrong,question_19
score_19,0,Wrong,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,0,Wrong,question_19
score_19,1,Right,question_19
score_19,1,Right,question_19
score_19,0,Wrong,question_19
score_20,1,Right,question_20
score_20,0,Wrong,question_20
score_20,1,Right,question_20
score_20,0,Wrong,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,0,Wrong,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,0,Wrong,question_20
score_20,0,Wrong,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,1,Right,question_20
score_20,0,Wrong,question_20
score_20,1,Right,question_20
score_20,0,Wrong,question_20